Archivo,F0_Hz,Jitter_porcentaje,Shimmer_porcentaje,HNR_dB,Clasificacion_Voz,Calidad_Vocal,Indice_Perturbacion,F0_Hz_ZScore,Jitter_porcentaje_ZScore,Shimmer_porcentaje_ZScore,HNR_dB_ZScore
10.wav,261.06,1.1093,4.5385,20.26,Aguda,Excelente,5.6478,-0.3944972876128744,-0.9808835287895877,-1.6596074474126135,2.1153653203363403
11.wav,267.93,2.1988,9.7361,8.11,Aguda,Mala,11.9349,-0.26541833511611485,1.1687864550167464,0.6411248070735641,-2.435172185762686
12.wav,330.52,1.8104,7.8203,11.5,Muy Aguda,Regular,9.6307,0.9105717139045801,0.4024424240755991,-0.20690944972661687,-1.1655160420856736
13.wav,295.48,1.6137,6.2825,13.04,Aguda,Regular,7.896199999999999,0.25221268981630524,0.01433771015663981,-0.8876209436755247,-0.5887400948105711
14.wav,294.81,2.1028,7.3278,12.1,Aguda,Regular,9.4306,0.23962420391050743,0.9793708345987489,-0.4249159595262247,-0.9407981405499194
15.wav,269.84,0.7163,6.7306,15.82,Aguda,Buena,7.4469,-0.22953175589212552,-1.756303724875764,-0.6892682187187645,0.45245284897175775
16.wav,263.96,1.409,9.5597,13.13,Aguda,Regular,10.9687,-0.34000981130419905,-0.38955163879715216,0.5630408510763031,-0.5550324095802073
17.wav,327.68,1.3241,8.1474,17.2,Muy Aguda,Buena,9.471499999999999,0.8572115646919464,-0.5570660781043185,-0.06211771499473523,0.9693040225039924
18.wav,318.76,1.528,11.1009,13.52,Muy Aguda,Regular,12.6289,0.689615603080433,-0.15475519265400967,1.2452573645852487,-0.40896577358196745
19.wav,287.97,1.48,7.0316,15.86,Aguda,Buena,8.5116,0.11110891496176918,-0.2494630028630084,-0.5560297223742324,0.4674340424074744
20.wav,280.39,1.7991,11.5779,11.9,Aguda,Regular,13.376999999999999,-0.03131007483814964,0.3801466270888972,1.4564027558023311,-1.0157041077285038
21.wav,330.52,1.8079,13.9968,14.15,Muy Aguda,Regular,15.8047,0.9105717139045801,0.3975097256272139,2.527135642206944,-0.1730119769694251
22.wav,316.24,2.0765,10.5363,13.52,Muy Aguda,Regular,12.6128,0.6422678650466875,0.927478846921735,0.9953355870566023,-0.40896577358196745
24.wav,341.99,1.9356,10.3649,12.6,Muy Aguda,Regular,12.3005,1.1260790770978604,0.6494719623707372,0.9194648951182209,-0.7535332226034575
25.wav,310.16,1.3778,6.8885,15.17,Muy Aguda,Buena,8.2663,0.528032052647809,-0.45111171543300155,-0.6193733397393574,0.2090084556413571
26.wav,310.78,1.9925,9.1528,12.69,Muy Aguda,Regular,11.145299999999999,0.5396810993069041,0.7617401790559877,0.382925421964708,-0.7198255373730943
27.wav,337.77,1.2356,6.1734,17.84,Muy Aguda,Buena,7.409,1.0467904046762695,-0.7316836031771599,-0.9359143654402702,1.2090031174754639
28.wav,324.51,1.3519,6.9215,17.11,Muy Aguda,Buena,8.2734,0.7976511164510832,-0.5022144713582734,-0.604765796950754,0.9355963372736292
29.wav,316.56,1.3788,7.3477,12.84,Muy Aguda,Regular,8.7265,0.6482802762255757,-0.4491386360536472,-0.4161071685718853,-0.6636460619891555
30.wav,324.0,1.1748,6.0944,14.29,Muy Aguda,Regular,7.2692000000000005,0.7880688361347301,-0.8516468294418914,-0.9708839375705625,-0.12057779994441623
31.wav,317.47,1.338,7.0679,15.03,Muy Aguda,Buena,8.405899999999999,0.66537807051554,-0.5296402747312959,-0.539961425306769,0.15657427861634754
32.wav,298.65,1.0925,7.098,19.07,Aguda,Buena,8.1905,0.3117731380571673,-1.014031262362737,-0.5266375756723158,1.6696748156237604
33.wav,336.8,2.3385,12.4401,14.51,Muy Aguda,Regular,14.778599999999999,1.0285652832902648,1.4444256443125194,1.838058010115472,-0.03818123604797272
34.wav,281.63,2.9265,8.2727,9.28,Aguda,Mala,11.199200000000001,-0.008011981519957072,2.604596319372753,-0.006653317679220284,-1.9969722777679648
35.wav,276.26,2.4394,9.3698,14.99,Aguda,Regular,11.8092,-0.10890775661567748,1.6435093536893524,0.4789810821200685,0.1415930851806309
36.wav,257.92,2.0601,10.0589,11.13,Aguda,Regular,12.119,-0.4534940723057162,0.8951203451003272,0.7840131347148093,-1.304092081366055
37.wav,327.71,1.4318,8.4431,18.77,Muy Aguda,Buena,9.8749,0.8577752282399667,-0.34456542894787795,0.06877472144738475,1.557315864855883
6.wav,328.42,1.1348,5.6813,16.38,Muy Aguda,Buena,6.8161000000000005,0.8711152655431259,-0.930570004616057,-1.1537438141151677,0.6621895570717947
7.wav,232.47,1.1415,5.4796,16.26,Media-Aguda,Buena,6.621099999999999,-0.9316686488766815,-0.9173503727743845,-1.2430268862503577,0.6172459767646448
8.wav,295.26,1.2127,5.4545,16.67,Aguda,Buena,6.6672,0.248079157130819,-0.7768671209643699,-1.2541374718259313,0.7708032094807437
9.wav,231.03,1.6778,6.1571,12.87,Media-Aguda,Regular,7.834899999999999,-0.9587244991816791,0.14081209837324019,-0.9431296062722166,-0.6524101669123681
A1.wav,171.89625000000004,0.8033,6.7483,17.37,Media-Grave,Buena,7.5516000000000005,-2.069775810274146,-1.584645818871954,-0.6814332639503317,1.0329740946057901
A2.wav,171.89625000000004,0.798,6.5369,17.04,Media-Grave,Buena,7.3349,-2.069775810274146,-1.595103139582531,-0.7750100683597473,0.9093792487611245
A3.wav,171.89625000000004,1.6738,10.4379,15.93,Media-Grave,Buena,12.1117,-2.069775810274146,0.13291978085582362,0.9517785503778584,0.4936511309199792
A4.wav,171.89625000000004,2.3123,10.2246,14.06,Media-Grave,Regular,12.536900000000001,-2.069775810274146,1.3927309645734414,0.8573607056260687,-0.2067196621997882
A5.wav,171.89625000000004,2.0277,11.558,14.02,Media-Grave,Regular,13.5857,-2.069775810274146,0.8311925732092531,1.4475939648479916,-0.2217008556355055
